group,gene,rank,score,q,log2fc_default,log2fc_arithmetic,fraction_expressing,mean_normalized_count
5,NKG7,20784,-11.086488120745384,1.2056756353194255e-27,-4.609316567632036,-6.650246534443666,0.05430932703659976,0.024492093819501896
5,KLRF1,15080,-2.82222143733077,0.012891265397803624,-6.440227599026043,-7.57786491107379,0.0023612750885478157,0.0008307013442078913
5,TRDC,14890,-2.6674769344797093,0.020198158589140976,-6.058854359233754,-7.134846309194243,0.0023612750885478157,0.0010588374336361656
5,SH2D1B,12977,-1.3714487876696249,0.3685815139977405,-7.048949819895149,-7.782017928948973,0.0005903187721369539,0.00017091094422203886
5,GNLY,18418,-6.455282419734552,4.812705588999545e-10,-4.306320665669546,-6.765571004659157,0.0448642266824085,0.0227721841994053
5,KLRD1,18021,-5.895550100818925,1.5453923160547435e-08,-5.768932296466308,-6.929611920589549,0.008264462809917356,0.0036061412552755114
5,PRF1,19648,-8.42950564681586,2.035589485075183e-16,-5.546556017193491,-6.711475809468733,0.011216056670602124,0.005715108735667769
5,FCGR3A,16237,-3.8795728162151155,0.00032746500172216547,-5.005190396718691,-6.152891508882978,0.007674144037780401,0.003417540269705222
5,CD3D,22834,-25.85748688270889,6.727162148136477e-146,-6.020404367213748,-6.6880393580224675,0.03364817001180637,0.016706444141650414
5,CD3E,22773,-24.96679003542299,4.326074671075883e-136,-5.895425477118335,-6.448381441884164,0.03128689492325856,0.013546973726979127
5,TRAC,22825,-25.714423419632137,2.67174346379359e-144,-5.561737430817495,-6.205155543578529,0.04073199527744982,0.019702487171762338
5,CD8A,19803,-8.735903301381452,1.4761983410726738e-17,-5.233746057265981,-5.914224632645407,0.010625737898465172,0.005563576735241361
5,CD8B,19818,-8.767750983670988,1.1175212297443641e-17,-5.814752114446466,-6.6287628778265,0.010035419126328217,0.004356259423659688
5,MS4A1,20095,-9.344532572491104,6.114886946301974e-20,-5.929820168133472,-7.075054912186585,0.010625737898465172,0.006061758457896301
5,CD79A,20928,-11.51147864403764,1.0072143539484543e-29,-5.75454297207118,-6.999582632465647,0.01948051948051948,0.007975482644286429
5,CD14,18346,-6.361178360389934,8.794977729371992e-10,-5.433216683547162,-6.595754292799516,0.010625737898465172,0.004666345431791564
5,LYZ,20536,-10.39074415826478,2.0747364653854643e-24,-3.3245529334293122,-5.972012667589979,0.1912632821723731,0.1006624454536212
5,FCER1A,13420,-1.628910457829873,0.23357373595912687,-3.9736553513517894,-4.996507156161049,0.004132231404958678,0.002380394647234878
5,CLEC10A,11964,-0.8781701095996686,0.750255373919213,-3.898955419356983,-4.815592789073196,0.0029515938606847697,0.0012549768725048593
6,NKG7,22435,-3.984187038190374,0.0010354294742560457,-2.4404910299435802,-3.7568940676590685,0.08398950131233596,0.16753410995218126
6,KLRF1,19320,-1.1863303671787486,0.9687212949081373,-3.5436249184965245,-4.1195674277836725,0.005249343832020997,0.008404753688686083
6,TRDC,19369,-1.20505183800864,0.9508448866617337,-5.040517479855707,-5.941006497334176,0.0026246719160104987,0.002232229873977652
6,SH2D1B,1907,0.863515334717002,0.9998759305571022,0.5062366523065578,0.04035635574799079,0.04461942257217848,0.03483473395232056
6,GNLY,21437,-2.5098198645303578,0.09818917595081574,-2.0647908554268666,-3.6715313596175294,0.05511811023622047,0.1789837272729539
6,KLRD1,21345,-2.426676522346863,0.11832176684724503,-3.0765076918315573,-3.603623546681872,0.015748031496062992,0.03328054301981441
6,PRF1,22373,-3.8374170263678504,0.0018047096123841354,-4.364028533573609,-5.162399770957881,0.010498687664041995,0.015412437769488595
6,FCGR3A,171,8.240706965558292,9.45898550675999e-15,3.724944723924924,4.159194040738521,0.2887139107611549,2.8457492779063633
